Gene name,Gene symbol,Entrez Gene ID,Gene family,Disease,Comparative genomics,Cortical marker (mouse),Cortical marker (human),Mouse gene symbol,"Visual
h vs m level","Visual
h vs m pattern","Temporal
h vs m level","Temporal
h vs m pattern",h region difference,h region L4 related?,m region difference,h donor difference,pattern description for Fig 2,level description for Fig 2,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Level,Pattern,Molecular function ,Biological process,Pathway
low density lipoprotein-related protein 1 (alpha-2-macroglobulin receptor),LRP1,4035,other membrane protein,Alzheimer,,,,Lrp1,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,++++,ubiquitous,,,Other receptor,Oogenesis,Alzheimer disease-presenilin pathway->LRP C-terminal fragment;;Alzheimer disease-presenilin pathway->LRP N-terminal fragment;;Alzheimer disease-presenilin pathway->Low-density lipoprotein receptor-related protein;;Alzheimer disease-presenilin pathway->LRP intracellular fragment;;Alzheimer disease-presenilin pathway->LRP transmembrane fragment;;;;;;
low density lipoprotein-related protein 2  ,LRP2,4036,other membrane protein,,,,,Lrp2,,,no mouse coronal data,,,,,,sparse,medium,++,sparse,++,sparse,,,-,none,,,Other receptor,Oogenesis,Alzheimer disease-presenilin pathway->LRP C-terminal fragment;;Alzheimer disease-presenilin pathway->LRP N-terminal fragment;;Alzheimer disease-presenilin pathway->Low-density lipoprotein receptor-related protein;;Alzheimer disease-presenilin pathway->LRP intracellular fragment;;Alzheimer disease-presenilin pathway->LRP transmembrane fragment;;;;;;
"low density lipoprotein receptor-related protein 8, apolipoprotein e receptor",LRP8,7804,other membrane protein,autism,,,,Lrp8,,,,,,,,,scattered,high,++++,scattered,++++,scattered,++++,scattered,+++,scattered+ubiquitous,+++,scattered+ubiquitous,Other receptor,Oogenesis,Alzheimer disease-presenilin pathway->LRP C-terminal fragment;;Alzheimer disease-presenilin pathway->LRP N-terminal fragment;;Alzheimer disease-presenilin pathway->Low-density lipoprotein receptor-related protein;;Alzheimer disease-presenilin pathway->LRP intracellular fragment;;Alzheimer disease-presenilin pathway->LRP transmembrane fragment;;;;;;
leucine rich repeat containing 1,LRRC1,55227,signal transduction,,,,,Lrrc1,,,,,,,,,ND,low,+,ubiquitous,+,ubiquitous,+,ubiquitous,-,none,-,none,Other miscellaneous function protein,Other immune and defense;Miscellaneous,
leucine rich repeat containing 15,LRRC15,131578,cell adhesion,Alzheimer,,,,Lrrc15,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,ubiquitous,,,Receptor;Extracellular matrix,Cell adhesion-mediated signaling;Extracellular matrix protein-mediated signaling;Cell adhesion;Immunity and defense,
leucine-rich repeat kinase 2 ,LRRK2,120892,kinase,Parkinson,,,,Lrrk2,,,no mouse coronal data,,17 ≠ 18,yes,,,laminar,medium,+++,layer 4C+scattered(2/3),++,scattered(2/3),,,++,"ubiquitous(2/3,4)",,,Other miscellaneous function protein,Other immune and defense;Miscellaneous,
"leucine rich repeat protein 3, neuronal",LRRN3,54674,cell adhesion,autism,,,,Lrrn3,,,,,,,,,widespread,medium,+++,"ubiquitous(2/3,6)",+++,ubiquitous,+++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Receptor;Extracellular matrix,Other receptor mediated signaling pathway;Developmental processes,
limbic system-associated membrane protein,LSAMP,4045,cell adhesion,,,interneuron,,Lsamp,,hV-mV,,hT-mT,17 ≠ 18,yes,,,scattered,high,++++,scattered+ubiquitous,++++,scattered+ubiquitous,++++,scattered+ubiquitous,++,scattered,++,scattered,CAM family adhesion molecule,Cell adhesion;Neurogenesis,
latexin,LXN,56925,other intracellular,,,,,Lxn,,,h Down,hT-mT,,,V1 ≠ TEa,,sparse,medium,++,sparse(6),++,sparse(6),++,sparse(6),++++,sparse(6),+++++,"scattered(5,6)",Molecular function unclassified,Biological process unclassified,
Ly6/neurotoxin 1,LYNX1,66004,secreted protein,,protein evolution,,,Lynx1,,,,,,,V1 ≠ TEa,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous(5),+++++,layer 5/6+scattered,Molecular function unclassified,Biological process unclassified,
LY6/PLAUR domain containing 1,LYPD1,116372,secreted protein,,,layer 2/5,interneuron,Lypd1,,hV-mV,,hT-mT,,,V1 ≠ TEa,,scattered,high,++++,"scattered(2/3,5/6)",++++,"scattered(2/3,5,6)",++++,"scattered(2/3,5,6)",+++++,"layer 2,5,6b",+++++,"layer 2/3+scattered(4,5)",Molecular function unclassified,Biological process unclassified,
LY6/PLAUR domain containing 6,LYPD6,130574,secreted protein,,,interneuron/layer6,,Lypd6,,hV-mV,,hT-mT,,,,diff,scattered,medium,++,scattered+ubiquitous,++,scattered+ubiquitous,++,scattered+ubiquitous,+++,scattered(6),+++,"scattered(5,6)",Molecular function unclassified,Biological process unclassified,
MAD1 mitotic arrest deficient-like 1 (yeast),MAD1L1,8379,other nuclear protein,,human accelerated regions,,,Mad1l1,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,+,sparse to none,+,sparse to none,Molecular function unclassified,Mitosis,
v-maf musculoaponeurotic fibrosarcoma oncogene homolog B (avian),MAFB,9935,transcription factor,,,interneuron,interneuron,Mafb,,,,,,,,,scattered,medium,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++,scattered+ubiquitous,+++++,scattered,+++++,scattered,Other transcription factor;Nucleic acid binding,mRNA transcription regulation;Neurogenesis;Cell cycle control;Cell proliferation and differentiation,
monoamine oxidase A,MAOA,4128,metabolic enzyme,depression,,,,Maoa,,,,,,,,,ND,low,,N/A,+,sparse to none,+,sparse to none,+,ubiquitous,+,ubiquitous,Oxidase,Other carbon metabolism,Dopamine receptor mediated signaling pathway->Monoamine Oxidase;;Adrenaline and noradrenaline biosynthesis->Monoamine Oxidase;;5-Hydroxytryptamine degredation->Monoamine Oxidase;;;;
monoamine oxidase B,MAOB,4129,metabolic enzyme,other neurodegenerative,Hapmap,,,Maob,h Up,,,,17 ≠ 18,no,,diff,laminar,high,++++,layer 5/6,+++,"ubiquitous(5,6)",+++,"ubiquitous(5,6)",++,scattered(6b),++,layer 6,Oxidase,Other carbon metabolism,Dopamine receptor mediated signaling pathway->Monoamine Oxidase;;Adrenaline and noradrenaline biosynthesis->Monoamine Oxidase;;5-Hydroxytryptamine degredation->Monoamine Oxidase;;;;
microtubule-associated protein 1A,MAP1A,4130,cytoskeletal protein,schizophrenia,,,,Mtap1a,,,,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,"ubiquitous(2/3,5)+scattered",+++++,"ubiquitous(2/3,5)+scattered",Non-motor microtubule binding protein,Cell structure,
mitogen-activated protein kinase 1,MAPK1,5594,kinase,other neurodegenerative,,,,Mapk1,,,no mouse coronal data,,17 ≠ 18,yes,,,widespread,high,++++,"ubiquitous(2/3,5/6)",+++++,"ubiquitous(2/3,5,6)",,,+++++,"ubiquitous(2/3,5,6)",,,Non-receptor serine/threonine protein kinase,Protein phosphorylation;MAPKKK cascade,Angiotensin II-stimulated signaling through G proteins and beta-arrestin->mitogen-activated protein kinase;;Interleukin signaling pathway->Extracellular signal-regulated kinase family;;Ras Pathway->Extracellular signal-regulated kinase;;B cell activation->ERK;;Alzheimer disease-amyloid secretase pathway->Mitogen activated protein kinase;;Apoptosis signaling pathway->Mitogen activated protein kinase;;Insulin/IGF pathway-mitogen activated protein kinase kinase/MAP kinase cascade->Mitogen-activated protein kinase;;T cell activation->ERK;;Angiogenesis->Mitogen Activated Protein Kinase Kinase;;Toll receptor signaling pathway->extracellular signal-regulated kinase 1;;FGF signaling pathway->Extracellular signal-regulated kinase;;Parkinson disease->ERK;;VEGF signaling pathway->Extracellular Signal-Regulated Kinase;;VEGF signaling pathway->MAPK/ERK Kinase;;Inflammation mediated by chemokine and cytokine signaling pathway->Mitogen activated protein kinase;;PDGF signaling pathway->Extracellular signal-regulated kinase family;;Toll receptor signaling pathway->extracellular signal-regulated kinase 2;;Interferon-gamma signaling pathway->Serine kinase;;Endothelin signaling pathway->extracellular signal-regulated kinase;;EGF receptor signaling pathway->Extracellular signal-regulated kinase;;TGF-beta signaling pathway->p42/p44MAPKs;;Integrin signalling pathway->Extracellular signal-regulated kinase;;Angiogenesis->Extracellular regulated kinase;;;;;;;;;;;;;;;;;;;;;;;;
mitogen-activated protein kinase 10 ,MAPK10,5602,kinase,epilepsy,,,,Mapk10,,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,,,+++++,ubiquitous,,,Non-receptor serine/threonine protein kinase,Protein phosphorylation;MAPKKK cascade,"EGF receptor signaling pathway->C-jun-amino-terminal kinase 1, 2, and 3;;Parkinson disease->Stress-activated protein kinase;;Ras Pathway->Jun kinase n-terminal kinase;;Alzheimer disease-amyloid secretase pathway->Mitogen activated protein kinase;;FAS signaling pathway->c-Jun kinase;;Toll receptor signaling pathway->c-jun N-terminal kinase;;FGF signaling pathway->C-jun-amino-terminal kinase 1, 2, and 3;;Angiogenesis->c-Jun N-Terminal Kinase 1;;TGF-beta signaling pathway->Jun-N-terminal kinase;;PDGF signaling pathway->Extracellular signal-regulated kinase family;;Integrin signalling pathway->C-Jun N-terminal kinase;;Huntington disease->c-Jun N-terminal kinase 2;;T cell activation->Jnk;;B cell activation->Jnk;;Interferon-gamma signaling pathway->Serine kinase;;Oxidative stress response->c-jun N-terminal kinases 1 and 2;;Integrin signalling pathway->Extracellular signal-regulated kinase;;Apoptosis signaling pathway->Jun kinase;;;;;;;;;;;;;;;;;;;"
microtubule-associated protein tau ,MAPT,4137,cytoskeletal protein,Alzheimer,,,,Mapt,,,,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,ubiquitous,Non-motor microtubule binding protein,Apoptosis;Cell structure,
MARCKS-like 1,MARCKSL1,65108,signal transduction,,,layer 2/3/5,,Marcksl1,,,,,,,,,laminar,high,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,+++++,scattered+ubiquitous,++++,"layer 2/3,5s+scattered",++++,"layer 2/3,5s+scattered",Other signaling molecule,Calcium mediated signaling,
myelin basic protein,MBP,4155,other intracellular,other neurodegenerative,,oligodendrocyte,oligodendrocyte,Mbp,,,,,,,,,scattered,high,+++++,oligodendrocyte,+++++,oligodendrocyte,+++++,oligodendrocyte,+++++,oligodendrocyte,+++++,oligodendrocyte,Myelin protein,Cell structure,
melanocortin 1 receptor (alpha melanocyte stimulating hormone receptor)  ,MC1R,4157,GPCR,,,,,Mc1r,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,ubiquitous,,,G-protein coupled receptor,G-protein mediated signaling;Vision,
melanocortin 2 receptor (adrenocorticotropic hormone)  ,MC2R,4158,GPCR,,,,,Mc2r,,,no mouse coronal data,,,,,,ND,low,-,none,-,none,,,+,ubiquitous,,,G-protein coupled receptor,G-protein mediated signaling;Vision,
melanocortin 3 receptor ,MC3R,4159,GPCR,obesity,,,,Mc3r,,,,,,,,,ND,low,-,none,-,none,-,none,+,ubiquitous,+,ubiquitous,G-protein coupled receptor,G-protein mediated signaling;Vision,
melanocortin 5 receptor  ,MC5R,4161,GPCR,,,,,Mc5r,,,no mouse coronal data,,,,,,ND,low,+,ubiquitous,+,ubiquitous,,,+,ubiquitous,,,G-protein coupled receptor,G-protein mediated signaling;Vision,
melanin-concentrating hormone receptor 1  ,MCHR1,2847,GPCR,,,,,Mchr1,,,,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,++,ubiquitous,++,ubiquitous,G-protein coupled receptor,G-protein mediated signaling;Ligand-mediated signaling,
melanin-concentrating hormone receptor 2  ,MCHR2,84539,GPCR,,,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,medium,+++,"ubiquitous(2/3,5/6)",+++,"ubiquitous(2,3,6)",,,,,,,G-protein coupled receptor,G-protein mediated signaling;Ligand-mediated signaling,
minichromosome maintenance deficient 7 (S. cerevisiae),MCM7,4176,other nuclear protein,,positive selection,,,Mcm7,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,ubiquitous,,,DNA helicase;Hydrolase,DNA replication;DNA replication,
"microcephaly, primary autosomal recessive 1",MCPH1,79648,other intracellular,microcephaly,protein evolution; microcephaly,,,Mcph1,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,+++,"layer 2/3,5,6",,,Damaged DNA-binding protein,"Regulation of nucleoside, nucleotide metabolism",
methyl CpG binding protein 2 (Rett syndrome) ,MECP2,4204,other nuclear protein,mental retardation,,,,Mecp2,h Up,,h Up,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++,ubiquitous,++,ubiquitous,Other nucleic acid binding,mRNA transcription regulation,
methylphosphate capping enzyme,MEPCE,56257,metabolic enzyme,,positive selection,,,Bcdin3,h Up,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
met proto-oncogene (hepatocyte growth factor receptor),MET,4233,kinase,autism,,,,Met,,hV-mV,,hT-mT,,,V1 ≠ TEa,,widespread,high,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,+++++,ubiquitous+oligodendrocyte,++,layer 2/6,++++,"scattered(5)+layer 2/3,4,6",Tyrosine protein kinase receptor;Protein kinase,Protein phosphorylation;Receptor protein tyrosine kinase signaling pathway;Ligand-mediated signaling;Immunity and defense;Fertilization;Cell cycle control;Cell proliferation and differentiation;Oncogene;Cell motility,
milk fat globule-EGF factor 8 protein,MFGE8,4240,cell adhesion,,,astrocyte,layer 3,Mfge8,,hV-mV,no mouse coronal data,,17 ≠ 18,no,,,laminar,high,+++,scattered,++++,layer 3,++++,layer 3,++++,"glial,scattered",,,Other cell adhesion molecule,Cell adhesion-mediated signaling;Angiogenesis,
"membrane metallo-endopeptidase (neutral endopeptidase, enkephalinase)",MME,4311,other membrane protein,,,interneuron,,Mme,,,,,17 ≠ 18,no,,,laminar,medium,++,layer 6,+,ubiquitous,+,ubiquitous,++,scattered,++,scattered,Metalloprotease,Proteolysis;Cell surface receptor mediated signal transduction;Cell communication;Oncogenesis,
myelin-associated oligodendrocyte basic protein,MOBP,4336,other intracellular,,,oligodendrocyte,oligodendrocyte,Mobp,,,no mouse coronal data,,,,,,scattered,high,+++++,oligodendrocyte,+++++,oligodendrocyte,,,+++++,oligodendrocyte,,,Molecular function unclassified,Biological process unclassified,
myelin oligodendrocyte glycoprotein,MOG,4340,other membrane protein,,microarray expression,oligodendrocyte,oligodendrocyte,Mog,,,no mouse coronal data,,,,,,scattered,high,+++++,"scattered,oligodendrocyte",+++++,"scattered,oligodendrocyte",,,+++++,oligodendrocyte,,,Myelin protein,Biological process unclassified,
multiple PDZ domain protein,MPDZ,8777,synaptic protein,,,,,Mpdz,,,no mouse coronal data,,,,,,widespread,medium,++,ubiquitous,++,ubiquitous,,,++,scattered+ubiquitous,,,Cytoskeletal protein;Other cell junction protein,Protein targeting;Asymmetric protein localization,
metadherin,MTDH,92140,other nuclear protein,,positive selection,,,Mtdh,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+++,ubiquitous,,,Molecular function unclassified,Biological process unclassified,
"myosin binding protein C, slow type",MYBPC1,4604,cytoskeletal protein,,,interneuron,interneuron,8030451F13Rik,,hV-mV,,hT-mT,17 ≠ 18,no,,diff,scattered,medium,+++,scattered(5/6),+++,"scattered(5,6)",+++,"scattered(5,6)",++++,scattered,++++,scattered,Molecular function unclassified,Muscle contraction,
"myosin, light polypeptide 4, alkali; atrial, embryonic",MYL4,4635,cytoskeletal protein,,,layer 5/6,,Myl4,,hV-mV,,hT-mT,,,V1 ≠ TEa,,widespread,medium,++,ubiquitous,++,ubiquitous,++,ubiquitous,+++++,"layer 5,6",+++++,layer 5,Actin binding cytoskeletal protein;Calmodulin related protein,Muscle contraction,
"NLR family, apoptosis inhibitory protein ",NAIP,4671,other intracellular,,HLS: (IMAGE clone ID)755093,,,Birc1a,h Up,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,-,none,,,Protease inhibitor,Inhibition of apoptosis,
nibrin,NBN,4683,other nuclear protein,microcephaly,,,,Nbn,,,no mouse coronal data,,,,,,widespread,medium,+++,ubiquitous,+++,ubiquitous,,,+++,scattered+ubiquitous,,,Damaged DNA-binding protein,DNA repair;DNA recombination,
"neuroblastoma breakpoint family, member 14",NBPF14,25832,other intracellular,,HLS: (IMAGE clone ID)843276,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,,,,,Molecular function unclassified,Biological process unclassified,
"neuroblastoma breakpoint family, member 3",NBPF3,84224,other intracellular,,HLS amplification,,,,no mouse ortholog,,no mouse ortholog,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,,,,,,,Molecular function unclassified,Biological process unclassified,
neural cell adhesion molecule 1,NCAM1,4684,cell adhesion,,,,,Ncam1,h Up,,no mouse coronal data,,,,,,widespread,high,+++++,ubiquitous,+++++,ubiquitous,,,+++,ubiquitous,,,CAM family adhesion molecule,Cell adhesion-mediated signaling;Cell adhesion;Other neuronal activity;Neurogenesis,
neurocan,NCAN,1463,extracellular matrix,,protein evolution,,,Cspg3,,,no mouse coronal data,,,,,,widespread,high,++++,ubiquitous(1),++++,ubiquitous(1),,,++++,ubiquitous,,,Extracellular matrix glycoprotein,Cell adhesion;Neurogenesis,
nudE nuclear distribution gene E homolog 1 (A. nidulans),NDE1,54820,cytoskeletal protein,schizophrenia,,,,Nde1,,,,,,,,,scattered,high,++++,"scattered,oligodendrocyte",++++,"scattered,oligodendrocyte",++++,"scattered,oligodendrocyte",+++,"scattered,oligodendrocyte",+++,"scattered,oligodendrocyte",Molecular function unclassified,Biological process unclassified,
nudE nuclear distribution gene E homolog like 1 (A. nidulans),NDEL1,81565,cytoskeletal protein,schizophrenia,,,,Ndel1,,,,,,,,,widespread,high,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,++++,ubiquitous,Molecular function unclassified,Biological process unclassified,
"neurofilament, heavy polypeptide 200kDa",NEFH,4744,cytoskeletal protein,other neurodegenerative,,layer 5,,Nefh,,hV-mV,,hT-mT,17 ≠ 18,no,V1 ≠ TEa,,laminar,high,+++++,scattered+ubiquitous,+++++,layer 3+scattered,+++++,layer 3+scattered,+++++,layer 5+scattered,++,ubiquitous,Structural protein,Cell structure,
"neurofilament, light polypeptide 68kDa",NEFL,4747,cytoskeletal protein,other neurodegenerative,,,,Nefl,,,,,,,,,widespread,high,+++++,scattered+ubiquitous,+++++,ubiquitous,+++++,ubiquitous,+++++,"layer 2/3,5,6",+++++,"layer 2/3,5,6",Intermediate filament;Structural protein,Cell structure,
"neurofilament, medium polypeptide 150kDa",NEFM,4741,cytoskeletal protein,,,,,Nef3,,,,,,,,,laminar,high,+++++,"scattered+ubiquitous(2/3,6)+glial",+++++,"scattered+ubiquitous(2/3,5/6)+glial",+++++,"scattered+ubiquitous(2/3,5/6)+glial",++++,"layer 2/3,5,6",++++,"scattered (2/3,5,6)",Intermediate filament;Structural protein,Cell structure,
NIMA (never in mitosis gene a)-related kinase 2 ,NEK2,4751,kinase,,HLS: (IMAGE clone ID)415089 and 2301826,,,Nek2,,,,,,,,,ND,low,-,none,-,none,-,none,+,sparse to none,+,sparse to none,Protein kinase;Transferase,Protein phosphorylation;Phosphate metabolism;Other metabolism,
